,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0,5,4,5,5,6,7,4,6,4,5,6,5,6,5,4,4,5,5,4,4,4,5,5,6,4,5,5,7,5,5,4,6
1,5,34,5,4,5,5,5,6,4,4,4,5,5,6,4,5,6,6,5,5,5,4,5,4,7,5,5,5,5,4,5,5
2,4,6,5,6,5,5,5,4,5,5,6,6,6,6,4,5,6,6,4,4,5,5,4,5,4,4,5,5,6,6,7,8
3,7,128,128,128,63,62,63,61,128,63,128,62,63,62,128,128,130,63,63,63,128,62,128,63,63,128,128,128,130,128,128,63
4,7,62,129,63,63,63,128,62,128,59,63,62,129,63,63,62,129,62,128,130,128,61,62,60,61,58,62,129,129,62,128,63
5,129,7,7,8,8,8,7,7,7,7,7,7,6,7,8,6,6,6,7,7,7,6,5,5,6,6,5,5,7,6,6,5
6,5,4,5,5,5,5,5,6,5,6,5,4,6,5,6,5,5,6,5,5,4,6,6,6,7,7,6,7,6,5,6,6
7,5,4,5,5,4,6,6,4,5,6,5,6,7,7,7,6,7,6,6,7,8,8,8,7,7,9,8,9,9,10,9,10
8,5,7,7,6,8,7,7,9,8,8,8,8,9,9,10,10,9,9,10,12,10,10,11,11,10,11,10,9,10,11,11,9
9,128,8,8,8,8,9,10,8,9,10,10,9,9,11,9,9,10,9,9,10,9,10,12,12,10,9,10,9,10,9,9,9
10,10,11,10,10,9,11,10,12,13,11,12,11,11,10,10,11,11,10,10,11,10,11,11,13,12,11,12,13,12,11,11,12
11,11,12,11,13,11,12,12,12,12,12,12,12,12,12,13,15,13,14,13,13,13,13,14,13,12,12,13,13,14,14,13,13
12,13,14,14,15,15,14,13,14,14,15,14,12,13,13,13,13,14,13,13,14,14,14,13,18,17,14,15,15,14,14,13,13
13,14,13,13,13,14,13,13,13,14,13,14,14,16,14,15,16,14,13,14,13,14,13,13,13,14,13,14,14,14,13,14,13
14,13,14,13,13,14,13,15,13,13,16,14,14,14,13,14,15,13,13,14,14,13,13,13,14,14,14,13,13,13,13,14,13
15,14,14,13,14,14,15,15,14,15,15,14,13,15,17,13,14,14,15,14,15,15,15,14,14,15,15,15,14,13,14,13,14
16,15,17,15,15,15,16,17,15,18,17,16,17,16,17,16,15,15,16,16,17,17,16,17,17,18,16,15,15,16,15,15,16
17,17,17,16,16,16,16,16,17,17,16,19,17,17,20,18,17,16,17,18,18,18,18,17,16,18,18,16,17,17,17,16,17
18,18,18,16,16,17,18,17,19,17,20,20,20,18,16,18,18,17,18,17,16,17,16,18,18,17,17,18,17,18,17,18,19
19,18,18,19,18,18,19,18,18,18,18,17,19,18,18,18,18,19,20,18,17,17,17,18,17,18,19,20,19,19,19,19,18
20,19,19,18,19,19,19,21,20,18,21,19,18,20,19,21,20,19,20,20,24,22,22,20,21,20,19,19,20,21,19,19,18
21,20,20,20,20,20,19,20,20,20,21,21,19,19,19,19,20,19,20,20,22,20,20,20,21,21,20,21,20,21,20,22,22
22,21,22,21,22,22,21,21,22,21,23,23,21,21,21,20,20,21,20,20,19,21,21,21,21,21,21,22,22,22,22,22,20
23,5,4,5,5,6,7,5,6,3,5,6,4,5,5,4,5,5,5,5,5,4,5,5,6,5,6,4,6,7,6,5,7
